PloBila1  P
PloBila2  B
PloDAP1  T
PloDAP2  D
PloVel1  K
PloVel2  G
NasBila  M
NasDAP  N
TriDAP  R
FriLab1  F
FriLab2  V
FriAlv1  S
FriAlv2  Z
FriPos1  SH
FriPos2  ZH
FriVel1  X
FriVel2  GH
AppLab  W
AppPal  J
LatAppDAP  L
CloFront1  I
CloCent1  Y
CloBack2  U
CloMidFront1  E
OpenMidBack2  O
OpenFront1  A
DiphJa  JA
DiphJe  JE
DiphJu  JU
AffrAlv1  TS
AffrAlv2  DZ
AffrPos1  TSH
AffrPos2  DZH
AffrAlv1j  TSJ
Pcs-PlsBlbUnv-Pa+	PJ
Pcs-PlsBlbVoi-Pa+	BJ
Pcs-PlsVlrUnv-Pa+	KJ
Pcs-PlsVlrVoi-Pa+	GJ
Pcs-NslBlbVoi-Pa+	MJ
Pcs-NslAlvVoi-Pa+	NJ
Pcs-FrcLbdUnv-Pa+	FJ
Pcs-FrcLbdVoi-Pa+	VJ
Pcs-FrcAlvUnv-Pa+	SJ
Pcs-FrcAlvVoi-Pa+	ZJ
Pcs-FrcVlrUnv-Pa+	XJ
Pcs-FrcVlrVoi-Pa+	GHJ
Pcs-AppLatAlvVoi-Pa+	LJ
